query,response_size_chars,system_type
allComments,4287,REST Java
allComments,3996,REST Java
allComments,2627,REST Java
allComments,2721,REST Java
allComments,3102,REST Java
allComments,3240,REST Java
allComments,4830,REST Java
allComments,3719,REST Java
allComments,2892,REST Java
allComments,4038,REST Java
allComments,4150,REST Java
allComments,3464,REST Java
allComments,2932,REST Java
allComments,3777,REST Java
allComments,4595,REST Java
commentById,213,REST Java
commentById,404,REST Java
commentById,373,REST Java
commentById,442,REST Java
commentById,360,REST Java
commentById,394,REST Java
commentById,353,REST Java
commentById,475,REST Java
commentById,295,REST Java
commentById,335,REST Java
commentById,468,REST Java
commentById,292,REST Java
commentById,401,REST Java
commentById,391,REST Java
commentById,380,REST Java
commentsByUserId,1032,REST Java
commentsByUserId,785,REST Java
commentsByUserId,1135,REST Java
commentsByUserId,621,REST Java
commentsByUserId,520,REST Java
commentsByUserId,1034,REST Java
commentsByUserId,739,REST Java
commentsByUserId,753,REST Java
commentsByUserId,1316,REST Java
commentsByUserId,1085,REST Java
commentsByUserId,603,REST Java
commentsByUserId,1089,REST Java
commentsByUserId,1467,REST Java
commentsByUserId,559,REST Java
commentsByUserId,1241,REST Java
commentsByMinScore,575,REST Java
commentsByMinScore,828,REST Java
commentsByMinScore,882,REST Java
commentsByMinScore,569,REST Java
commentsByMinScore,599,REST Java
commentsByMinScore,1124,REST Java
commentsByMinScore,1410,REST Java
commentsByMinScore,1173,REST Java
commentsByMinScore,636,REST Java
commentsByMinScore,1033,REST Java
commentsByMinScore,766,REST Java
commentsByMinScore,1458,REST Java
commentsByMinScore,522,REST Java
commentsByMinScore,1144,REST Java
commentsByMinScore,1055,REST Java
